2008-01-01	0	375	47
2008-01-01	1	313	45
2008-01-01	2	287	44
2008-01-01	3	277	44
2008-01-01	4	305	44
2008-01-01	5	567	49
2008-01-01	6	895	50
2008-01-01	7	1668	51
2008-01-01	8	1890	51
2008-01-01	9	1458	52
2008-01-01	10	1270	53
2008-01-01	11	1345	53
2008-01-01	12	1485	53
2008-01-01	13	1512	52
2008-01-01	14	1630	53
2008-01-01	15	1987	54
2008-01-01	16	2661	53
2008-01-01	17	3399	52
2008-01-01	18	2768	51
2008-01-01	19	1631	53
2008-01-01	20	1161	52
2008-01-01	21	963	49
2008-01-01	22	760	48
2008-01-01	23	526	47
2008-01-02	0	379	44
2008-01-02	1	318	42
2008-01-02	2	290	42
2008-01-02	3	280	41
2008-01-02	4	304	42
2008-01-02	5	559	47
2008-01-02	6	878	48
2008-01-02	7	1662	49
2008-01-02	8	1906	50
2008-01-02	9	1518	49
2008-01-02	10	1178	63
2008-01-02	11	1268	66
2008-01-02	12	1421	68
2008-01-02	13	1467	67
2008-01-02	14	1553	68
2008-01-02	15	2023	69
2008-01-02	16	2763	71
2008-01-02	17	3442	70
2008-01-02	18	2223	71
2008-01-02	19	1206	68
2008-01-02	20	838	68
2008-01-02	21	701	66
2008-01-02	22	572	61
2008-01-02	23	458	61
2008-01-03	0	370	55
2008-01-03	1	338	56
2008-01-03	2	302	54
2008-01-03	3	277	53
2008-01-03	4	342	55
2008-01-03	5	686	64
2008-01-03	6	914	65
2008-01-03	7	1641	69
2008-01-03	8	1677	68
2008-01-03	9	1262	68
2008-01-03	10	1286	66
2008-01-03	11	1412	67
2008-01-03	12	1544	65
2008-01-03	13	1594	64
2008-01-03	14	1723	64
2008-01-03	15	2161	64
2008-01-03	16	3022	67
2008-01-03	17	3695	69
2008-01-03	18	2510	69
2008-01-03	19	1445	70
2008-01-03	20	941	69
2008-01-03	21	753	66
2008-01-03	22	669	64
2008-01-03	23	523	61
2008-01-04	0	370	54
2008-01-04	1	347	53
2008-01-04	2	300	50
2008-01-04	3	287	51
2008-01-04	4	363	52
2008-01-04	5	654	63
2008-01-04	6	955	66
2008-01-04	7	1657	68
2008-01-04	8	1771	68
2008-01-04	9	1400	67
2008-01-04	10	1369	63
2008-01-04	11	1530	59
2008-01-04	12	1638	58
2008-01-04	13	1683	55
2008-01-04	14	1833	54
2008-01-04	15	2203	58
2008-01-04	16	3064	61
2008-01-04	17	3769	62
2008-01-04	18	2543	64
2008-01-04	19	1466	67
2008-01-04	20	1019	67
2008-01-04	21	930	66
2008-01-04	22	801	66
2008-01-04	23	727	61
2008-01-05	0	472	60
2008-01-05	1	387	61
2008-01-05	2	330	56
2008-01-05	3	321	55
2008-01-05	4	288	56
2008-01-05	5	351	57
2008-01-05	6	443	58
2008-01-05	7	537	57
2008-01-05	8	634	59
2008-01-05	9	761	59
2008-01-05	10	862	62
2008-01-05	11	1000	62
2008-01-05	12	1266	63
2008-01-05	13	1303	62
2008-01-05	14	1361	60
2008-01-05	15	1448	59
2008-01-05	16	1253	61
2008-01-05	17	985	60
2008-01-05	18	947	59
2008-01-05	19	989	60
2008-01-05	20	743	57
2008-01-05	21	638	56
2008-01-05	22	632	56
2008-01-05	23	562	57
2008-01-06	0	493	56
2008-01-06	1	337	54
2008-01-06	2	320	52
2008-01-06	3	321	53
2008-01-06	4	305	53
2008-01-06	5	287	52
2008-01-06	6	309	53
2008-01-06	7	397	53
2008-01-06	8	415	53
2008-01-06	9	510	53
2008-01-06	10	652	54
2008-01-06	11	805	55
2008-01-06	12	1087	55
2008-01-06	13	1247	55
2008-01-06	14	1290	56
2008-01-06	15	1300	56
2008-01-06	16	1232	57
2008-01-06	17	1239	56
2008-01-06	18	1036	55
2008-01-06	19	960	56
2008-01-06	20	773	53
2008-01-06	21	611	54
2008-01-06	22	557	54
2008-01-06	23	446	53
2008-01-07	0	343	54
2008-01-07	1	305	51
2008-01-07	2	263	50
2008-01-07	3	277	50
2008-01-07	4	302	49
2008-01-07	5	631	55
2008-01-07	6	925	54
2008-01-07	7	1680	54
2008-01-07	8	1864	55
2008-01-07	9	1549	54
2008-01-07	10	1310	56
2008-01-07	11	1454	57
2008-01-07	12	1617	58
2008-01-07	13	1671	59
2008-01-07	14	1792	59
2008-01-07	15	2131	60
2008-01-07	16	2904	59
2008-01-07	17	3897	55
2008-01-07	18	2990	55
2008-01-07	19	1759	56
2008-01-07	20	1139	56
2008-01-07	21	855	56
2008-01-07	22	601	54
2008-01-07	23	461	51
2008-01-08	0	424	52
2008-01-08	1	316	48
2008-01-08	2	299	49
2008-01-08	3	282	46
2008-01-08	4	324	47
2008-01-08	5	641	53
2008-01-08	6	874	54
2008-01-08	7	1853	53
2008-01-08	8	1997	54
2008-01-08	9	1486	54
2008-01-08	10	1319	54
2008-01-08	11	1368	54
2008-01-08	12	1512	57
2008-01-08	13	1646	56
2008-01-08	14	1810	58
2008-01-08	15	2248	57
2008-01-08	16	3067	57
2008-01-08	17	3890	54
2008-01-08	18	3081	54
2008-01-08	19	1784	51
2008-01-08	20	1044	43
2008-01-08	21	858	49
2008-01-08	22	702	51
2008-01-08	23	527	50
2008-01-09	0	417	52
2008-01-09	1	312	52
2008-01-09	2	287	50
2008-01-09	3	296	49
2008-01-09	4	326	55
2008-01-09	5	639	60
2008-01-09	6	871	60
2008-01-09	7	1856	61
2008-01-09	8	2045	61
2008-01-09	9	1581	60
2008-01-09	10	1401	54
2008-01-09	11	1560	55
2008-01-09	12	1613	56
2008-01-09	13	1735	54
2008-01-09	14	1845	54
2008-01-09	15	2366	55
2008-01-09	16	3085	55
2008-01-09	17	3984	54
2008-01-09	18	3000	58
2008-01-09	19	1914	61
2008-01-09	20	1321	64
2008-01-09	21	1157	64
2008-01-09	22	932	66
2008-01-09	23	575	61
2008-01-10	0	416	59
2008-01-10	1	323	53
2008-01-10	2	306	53
2008-01-10	3	299	51
2008-01-10	4	332	50
2008-01-10	5	672	61
2008-01-10	6	922	64
2008-01-10	7	1884	64
2008-01-10	8	2038	62
2008-01-10	9	1517	61
2008-01-10	10	1353	58
2008-01-10	11	1520	55
2008-01-10	12	1630	52
2008-01-10	13	1703	49
2008-01-10	14	1677	48
2008-01-10	15	2148	47
2008-01-10	16	3024	47
2008-01-10	17	3233	45
2008-01-10	18	3191	46
2008-01-10	19	1728	51
2008-01-10	20	1109	52
2008-01-10	21	1307	54
2008-01-10	22	1059	55
2008-01-10	23	570	56
2008-01-11	0	416	53
2008-01-11	1	332	50
2008-01-11	2	299	49
2008-01-11	3	292	47
2008-01-11	4	329	53
2008-01-11	5	633	61
2008-01-11	6	853	62
2008-01-11	7	1822	61
2008-01-11	8	1922	62
2008-01-11	9	1479	62
2008-01-11	10	1401	62
2008-01-11	11	1562	62
2008-01-11	12	1771	62
2008-01-11	13	1785	61
2008-01-11	14	1997	62
2008-01-11	15	2432	61
2008-01-11	16	3257	61
2008-01-11	17	3927	60
2008-01-11	18	2836	62
2008-01-11	19	1682	65
2008-01-11	20	1208	67
2008-01-11	21	1055	67
2008-01-11	22	998	66
2008-01-11	23	894	67
2008-01-12	0	618	65
2008-01-12	1	399	61
2008-01-12	2	364	59
